eps,eTiOT,eTiOT(k = 20),eTAOT(w = 0.4),eTAOT(w = 2),eTAOT(w = 10)
0.01,0.17470881863560728,0.17637271214642258,0.16306156405990013,0.5707154742096505,0.5707154742096505
0.02,0.17138103161397666,0.17637271214642258,0.1564059900166389,0.39267886855241263,0.5707154742096505
0.03,0.17637271214642258,0.17304492512479197,0.1547420965058236,0.39267886855241263,0.5707154742096505
0.04,0.17304492512479197,0.17470881863560728,0.1530782029950083,0.39434276206322794,0.5707154742096505
0.05,0.17637271214642258,0.17637271214642258,0.151414309484193,0.39767054908485855,0.5707154742096505
0.06,0.1797004991680532,0.1780366056572379,0.1530782029950083,0.39767054908485855,0.5707154742096505
0.07,0.1797004991680532,0.17637271214642258,0.16139767054908483,0.40099833610648916,0.5707154742096505
0.08,0.1780366056572379,0.1797004991680532,0.16638935108153075,0.40266222961730447,0.5707154742096505
0.09,0.1797004991680532,0.1797004991680532,0.17304492512479197,0.40099833610648916,0.5707154742096505
0.1,0.1830282861896838,0.1797004991680532,0.17637271214642258,0.4043261231281198,0.5707154742096505
