eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.005,0.23819517313746064,0.21720881427072403,0.16998950682056668,0.14375655823714584
0.01,0.2371458551941238,0.21825813221406087,0.16998950682056668,0.14480587618048268
0.015,0.23819517313746064,0.21615949632738718,0.16998950682056668,0.14585519412381953
0.02,0.2350472193074502,0.21511017838405033,0.1731374606505771,0.14375655823714584
0.025,0.2350472193074502,0.21406086044071349,0.17418677859391396,0.14585519412381953
0.03,0.23399790136411336,0.2119622245540399,0.17628541448058765,0.14585519412381953
0.035,0.2350472193074502,0.21091290661070305,0.1752360965372508,0.14585519412381953
0.04,0.2350472193074502,0.2098635886673662,0.17418677859391396,0.1500524658971668
0.045,0.23399790136411336,0.20881427072402936,0.1731374606505771,0.1500524658971668
0.05,0.23399790136411336,0.2098635886673662,0.1752360965372508,0.1500524658971668
0.055,0.2350472193074502,0.2119622245540399,0.1773347324239245,0.1521511017838405
0.06,0.2350472193074502,0.21301154249737675,0.1773347324239245,0.15634837355718778
0.065,0.23399790136411336,0.2119622245540399,0.18153200419727178,0.15844700944386148
0.07,0.23609653725078694,0.21301154249737675,0.18048268625393493,0.16998950682056668
0.075,0.2350472193074502,0.21406086044071349,0.18048268625393493,0.1731374606505771
0.08,0.23399790136411336,0.21511017838405033,0.18153200419727178,0.17418677859391396
0.085,0.2329485834207765,0.21511017838405033,0.18153200419727178,0.17628541448058765
0.09,0.2350472193074502,0.21615949632738718,0.18572927597061906,0.1773347324239245
0.095,0.2350472193074502,0.21720881427072403,0.18782791185729275,0.17418677859391396
0.1,0.2350472193074502,0.21720881427072403,0.1909758656873033,0.18048268625393493
