eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.461038961038961,0.5,0.4285714285714286,0.4675324675324676
0.02,0.4155844155844156,0.487012987012987,0.4545454545454546,0.461038961038961
0.03,0.448051948051948,0.4545454545454546,0.448051948051948,0.4675324675324676
0.04,0.448051948051948,0.4545454545454546,0.461038961038961,0.4805194805194805
0.05,0.4415584415584416,0.4675324675324676,0.4545454545454546,0.4805194805194805
0.06,0.461038961038961,0.4805194805194805,0.448051948051948,0.4805194805194805
0.07,0.461038961038961,0.525974025974026,0.461038961038961,0.487012987012987
0.08,0.474025974025974,0.538961038961039,0.474025974025974,0.4675324675324676
0.09,0.4805194805194805,0.5324675324675325,0.4805194805194805,0.487012987012987
0.1,0.474025974025974,0.551948051948052,0.4935064935064935,0.5
