eps,eTiOT,eTAOT($\omega = \omega_{\text{grid}} \;/\; 5)$, eTAOT($\omega = \omega_{\text{grid}})$, eTAOT($\omega = \omega_{\text{grid}} \times 5)$
0.01,0.2717391304347826,0.2608695652173913,0.2789855072463768,0.2717391304347826
0.02,0.2572463768115942,0.2753623188405797,0.2463768115942028,0.2753623188405797
0.03,0.2681159420289855,0.2608695652173913,0.2427536231884057,0.2753623188405797
0.04,0.2681159420289855,0.2427536231884057,0.25,0.286231884057971
0.05,0.2753623188405797,0.25,0.2536231884057971,0.286231884057971
0.06,0.2826086956521739,0.25,0.2608695652173913,0.286231884057971
0.07,0.2826086956521739,0.2572463768115942,0.2644927536231883,0.3007246376811594
0.08,0.2789855072463768,0.2536231884057971,0.2644927536231883,0.289855072463768
0.09,0.2753623188405797,0.2644927536231883,0.2717391304347826,0.3079710144927536
0.1,0.286231884057971,0.2644927536231883,0.2608695652173913,0.3115942028985508
