eps,eTiOT,eTAOT(w = 0.06),eTAOT(w = 0.3),eTAOT(w = 1.5)
0.05,0.35,0.19999999999999996,0.35,0.35
0.06,0.35,0.15000000000000002,0.35,0.4
0.07,0.35,0.15000000000000002,0.35,0.4
0.08,0.35,0.15000000000000002,0.35,0.4
0.09,0.4,0.09999999999999998,0.35,0.4
0.1,0.4,0.09999999999999998,0.35,0.4
