eps,eTiOT
0.005,0.2350839786032246
0.01,0.24260277559570564
0.015,0.23510268207833018
0.02,0.22509632289679427
0.025,0.21507126024015266
0.03,0.22008379156847335
0.035,0.23757154079227927
0.04,0.23003404032469232
0.045,0.2250402124714772
0.05,0.22752777466053187
0.055,0.22253394680731686
0.06,0.21750271200389026
0.065,0.22249653985710538
0.07,0.2274903677103205
0.075,0.22500280552126595
0.08,0.22000897766805083
0.085,0.22251524333221118
0.09,0.22502150899637152
0.095,0.23502786817790755
0.1,0.25004675868776427
Final error,0.2878048780487805
