eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.005,0.4545454545454546,0.5,0.44805194805194803,0.49350649350649356
0.01,0.42207792207792205,0.5,0.4285714285714286,0.4675324675324676
0.015,0.42207792207792205,0.487012987012987,0.4285714285714286,0.4675324675324676
0.02,0.42207792207792205,0.487012987012987,0.4545454545454546,0.461038961038961
0.025,0.4415584415584416,0.474025974025974,0.4675324675324676,0.4675324675324676
0.03,0.4675324675324676,0.4545454545454546,0.44805194805194803,0.4675324675324676
0.035,0.48051948051948057,0.4675324675324676,0.474025974025974,0.4675324675324676
0.04,0.4675324675324676,0.4545454545454546,0.461038961038961,0.48051948051948057
0.045,0.474025974025974,0.461038961038961,0.461038961038961,0.48051948051948057
0.05,0.461038961038961,0.4675324675324676,0.4545454545454546,0.48051948051948057
0.055,0.474025974025974,0.48051948051948057,0.461038961038961,0.487012987012987
0.06,0.48051948051948057,0.48051948051948057,0.44805194805194803,0.48051948051948057
0.065,0.4675324675324676,0.5064935064935066,0.4545454545454546,0.512987012987013
0.07,0.4675324675324676,0.525974025974026,0.461038961038961,0.487012987012987
0.075,0.4675324675324676,0.5324675324675325,0.474025974025974,0.4675324675324676
0.08,0.474025974025974,0.538961038961039,0.474025974025974,0.4675324675324676
0.085,0.487012987012987,0.525974025974026,0.49350649350649356,0.474025974025974
0.09,0.5,0.5324675324675325,0.48051948051948057,0.487012987012987
0.095,0.4675324675324676,0.551948051948052,0.5,0.5
0.1,0.461038961038961,0.551948051948052,0.49350649350649356,0.5
