eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.23367697594501713,0.24398625429553267,0.21649484536082475,0.20618556701030932
0.02,0.20618556701030932,0.21649484536082475,0.19931271477663226,0.21993127147766323
0.03,0.19931271477663226,0.20618556701030932,0.2233676975945017,0.2233676975945017
0.04,0.21305841924398627,0.21993127147766323,0.23711340206185572,0.23367697594501713
0.05,0.23024054982817865,0.2233676975945017,0.24398625429553267,0.2714776632302406
0.06,0.23367697594501713,0.2508591065292096,0.2680412371134021,0.3264604810996563
0.07,0.24398625429553267,0.24742268041237114,0.31958762886597936,0.3883161512027491
0.08,0.25773195876288657,0.27491408934707906,0.36426116838487976,0.41237113402061853
0.09,0.26116838487972505,0.302405498281787,0.40893470790378006,0.436426116838488
0.1,0.29209621993127144,0.2955326460481099,0.40893470790378006,0.45360824742268047
