eps,eTiOT,eTiOT(k = 20),eTAOT(w = 0.4),eTAOT(w = 2),eTAOT(w = 10)
0.01,"(0.17470881863560728, 36.369163082912564)","(0.17637271214642258, 14.817458318546414)","(0.19633943427620637, 13.328777166083455)","(0.17138103161397666, 13.450299808755517)","(0.2013311148086523, 13.52539941854775)"
0.02,"(0.17138103161397666, 19.594780910760164)","(0.17637271214642258, 10.110935132950544)","(0.19301164725457576, 12.901454100385308)","(0.16971713810316136, 13.177095266059041)","(0.2046589018302829, 13.081810992211103)"
