len,TiOT,eTiOT,fast_eTiOT,eTAOT
100,1.9997364077717066,1.372266886755824,0.6039198040962219,0.22297409921884537
200,13.748201992362738,4.902153123170137,1.6152725256979465,1.5044031590223312
300,48.14734880998731,5.733253795653582,3.432379810139537,2.7625787332654
400,126.36028385162354,10.98281366378069,5.192718118429184,4.807288784533739
600,406.8788671437651,30.593892883509398,15.10774465277791,10.39555537328124
800,1065.8291871659458,304.9438085574657,175.3776281438768,65.86000950448215
1000,,205.0295112617314,101.09809412062168,35.71613254211843
1300,,312.5854884311557,190.7200500164181,134.31996938958764
1600,,434.85827553644776,153.64779431186616,113.91994533129036
2000,,479.3798424284905,175.75996691547334,131.71521171927452
