len,TiOT,eTiOT,fast_eTiOT,eTAOT
100,2.0243998914957047,0.31319178082048893,0.2100863978266716,0.3325170911848545
200,15.25408674031496,2.8679805770516396,2.3439001366496086,1.7511225417256355
300,51.98645160719752,9.952347632497549,3.0279597118496895,2.2318876404315233
400,120.32837943732738,18.967624651268125,10.863629145547748,5.9279769994318485
600,484.7945699580014,16.32777437567711,8.945985104888678,7.616841975599527
800,268.1992992069572,38.356131844222546,62.38659391179681,9.403242217376828
1000,,54.26877934485674,57.46286497823894,18.192291393876076
1300,,84.57176177017391,55.53546639159322,27.86431193165481
1600,,117.4042960498482,61.66022018529475,24.96070603467524
2000,,78.8484995122999,76.7881244327873,27.591245537623763
