len,TiOT,TAOT,eTiOT,eTAOT
200,"(1.440398252492994, 0.46787199676385816)","(1.4225527951891634, array([[0.005, 0.   , 0.   , ..., 0.   , 0.   , 0.   ],
       [0.   , 0.005, 0.   , ..., 0.   , 0.   , 0.   ],
       [0.   , 0.   , 0.   , ..., 0.   , 0.   , 0.   ],
       ...,
       [0.   , 0.   , 0.   , ..., 0.   , 0.   , 0.   ],
       [0.   , 0.   , 0.   , ..., 0.   , 0.005, 0.   ],
       [0.   , 0.   , 0.   , ..., 0.   , 0.   , 0.005]]))","(1.443195027673104, array([[7.61441767e-04, 6.09775403e-04, 4.78750058e-04, ...,
        1.88468165e-05, 1.29820702e-05, 6.91846440e-06],
       [4.59354327e-04, 3.70073944e-04, 2.92304099e-04, ...,
        3.59255528e-05, 2.48948059e-05, 1.33468733e-05],
       [2.27371525e-04, 1.84282235e-04, 1.46432162e-04, ...,
        5.26580630e-05, 3.67072974e-05, 1.97980556e-05],
       ...,
       [1.97810951e-34, 5.14730965e-34, 1.31269463e-33, ...,
        1.34039966e-04, 2.73389410e-04, 4.60353244e-04],
       [7.70449110e-35, 2.01688784e-34, 5.17455473e-34, ...,
        1.69579751e-04, 3.47958925e-04, 5.89447269e-04],
       [2.94243263e-35, 7.74911576e-35, 2.00009771e-34, ...,
        2.10443147e-04, 4.34405659e-04, 7.40320788e-04]]), 0.49960595534351326, 0.018711800000000167)","(1.4503103963457824, array([[7.50852898e-04, 6.01035010e-04, 4.71745770e-04, ...,
        1.98459550e-05, 1.39812506e-05, 7.68277118e-06],
       [4.51071352e-04, 3.63241608e-04, 2.86819874e-04, ...,
        3.76357905e-05, 2.66730288e-05, 1.47450820e-05],
       [2.22626441e-04, 1.80356473e-04, 1.43268244e-04, ...,
        5.49500113e-05, 3.91759240e-05, 2.17866965e-05],
       ...,
       [2.27221350e-34, 5.90452131e-34, 1.50394235e-33, ...,
        1.20564571e-04, 2.51244877e-04, 4.35809972e-04],
       [8.90326021e-35, 2.32750379e-34, 5.96406900e-34, ...,
        1.53306111e-04, 3.21396786e-04, 5.60850206e-04],
       [3.42290181e-35, 9.00205267e-35, 2.32059624e-34, ...,
        1.91336119e-04, 4.03537286e-04, 7.08425946e-04]]), 0.015721499999999722)"
400,"(1.4405728455970295, 0.46709965846903123)","(1.4223736336392605, array([[0.0025, 0.    , 0.    , ..., 0.    , 0.    , 0.    ],
       [0.    , 0.0025, 0.    , ..., 0.    , 0.    , 0.    ],
       [0.    , 0.    , 0.0025, ..., 0.    , 0.    , 0.    ],
       ...,
       [0.    , 0.    , 0.    , ..., 0.0025, 0.    , 0.    ],
       [0.    , 0.    , 0.    , ..., 0.    , 0.0025, 0.    ],
       [0.    , 0.    , 0.    , ..., 0.    , 0.    , 0.0025]]))","(1.4428877903101234, array([[2.08149740e-04, 1.86378895e-04, 1.66040010e-04, ...,
        3.05705501e-06, 2.30288546e-06, 1.61004203e-06],
       [1.67369559e-04, 1.50089133e-04, 1.33911285e-04, ...,
        4.42499065e-06, 3.33835774e-06, 2.33748878e-06],
       [1.26943591e-04, 1.14008012e-04, 1.01872067e-04, ...,
        5.94448684e-06, 4.49143643e-06, 3.14958513e-06],
       ...,
       [1.26246755e-35, 2.04696235e-35, 3.30185460e-35, ...,
        9.55434402e-05, 1.27478175e-04, 1.60438505e-04],
       [7.82686838e-36, 1.27095335e-35, 2.05319240e-35, ...,
        1.07250895e-04, 1.43313697e-04, 1.80639359e-04],
       [4.82803228e-36, 7.85169993e-36, 1.27032745e-35, ...,
        1.19798670e-04, 1.60321065e-04, 2.02379811e-04]]), 0.49960279628538123, 0.03220890000000054)","(1.4498600350770678, array([[2.04862079e-04, 1.83354170e-04, 1.63280135e-04, ...,
        3.30690647e-06, 2.52721317e-06, 1.79343221e-06],
       [1.64211212e-04, 1.47191734e-04, 1.31273594e-04, ...,
        4.76939613e-06, 3.65034804e-06, 2.59435039e-06],
       [1.24167580e-04, 1.11465413e-04, 9.95601128e-05, ...,
        6.38443782e-06, 4.89376817e-06, 3.48328223e-06],
       ...,
       [1.46244372e-35, 2.36903201e-35, 3.81802981e-35, ...,
        8.86831067e-05, 1.19981114e-04, 1.53198890e-04],
       [9.09462547e-36, 1.47546197e-35, 2.38148492e-35, ...,
        9.98096554e-05, 1.35237098e-04, 1.72937815e-04],
       [5.62820956e-36, 9.14460376e-36, 1.47821002e-35, ...,
        1.11794571e-04, 1.51703396e-04, 1.94285695e-04]]), 0.017181300000000732)"
800,"(1.440660504703331, 0.46673581973542555)","(1.4222831950458887, array([[0.00125, 0.     , 0.     , ..., 0.     , 0.     , 0.     ],
       [0.     , 0.00125, 0.     , ..., 0.     , 0.     , 0.     ],
       [0.     , 0.     , 0.00125, ..., 0.     , 0.     , 0.     ],
       ...,
       [0.     , 0.     , 0.     , ..., 0.00125, 0.     , 0.     ],
       [0.     , 0.     , 0.     , ..., 0.     , 0.00125, 0.     ],
       [0.     , 0.     , 0.     , ..., 0.     , 0.     , 0.00125]]))","(1.4427346204482672, array([[5.44646142e-05, 5.15427111e-05, 4.87150646e-05, ...,
        5.57616612e-07, 4.70056850e-07, 3.88742785e-07],
       [4.92658873e-05, 4.66403842e-05, 4.40982271e-05, ...,
        6.78877562e-07, 5.72491569e-07, 4.73635264e-07],
       [4.39090756e-05, 4.15846526e-05, 3.93328178e-05, ...,
        8.11080879e-07, 6.84234069e-07, 5.66294818e-07],
       ...,
       [1.58461942e-36, 2.02025076e-36, 2.57228909e-36, ...,
        3.75326150e-05, 4.24119395e-05, 4.72089054e-05],
       [1.24563775e-36, 1.58867498e-36, 2.02354347e-36, ...,
        3.97460617e-05, 4.49299964e-05, 5.00305372e-05],
       [9.77928126e-37, 1.24770874e-36, 1.58984099e-36, ...,
        4.20374897e-05, 4.75381228e-05, 5.29546126e-05]]), 0.49960124540997386, 0.09947310000001153)","(1.4498037528464875, array([[5.36173067e-05, 5.07297569e-05, 4.79367125e-05, ...,
        6.12941006e-07, 5.20668087e-07, 4.33855194e-07],
       [4.84265713e-05, 4.58357522e-05, 4.33284031e-05, ...,
        7.44932735e-07, 6.33026906e-07, 5.27677846e-07],
       [4.30944198e-05, 4.08041675e-05, 3.85865263e-05, ...,
        8.88410075e-07, 7.55233676e-07, 6.29782903e-07],
       ...,
       [1.84191859e-36, 2.34720921e-36, 2.98725182e-36, ...,
        3.54110638e-05, 4.03125491e-05, 4.52005507e-05],
       [1.45025003e-36, 1.84878798e-36, 2.35380239e-36, ...,
        3.75513894e-05, 4.27651637e-05, 4.79685355e-05],
       [1.14046065e-36, 1.45441181e-36, 1.85239303e-36, ...,
        3.97728795e-05, 4.53120809e-05, 5.08444064e-05]]), 0.042212599999999156)"
2000,,"(1.4222187221970208, array([[0.0005, 0.    , 0.    , ..., 0.    , 0.    , 0.    ],
       [0.    , 0.0005, 0.    , ..., 0.    , 0.    , 0.    ],
       [0.    , 0.    , 0.0005, ..., 0.    , 0.    , 0.    ],
       ...,
       [0.    , 0.    , 0.    , ..., 0.0005, 0.    , 0.    ],
       [0.    , 0.    , 0.    , ..., 0.    , 0.0005, 0.    ],
       [0.    , 0.    , 0.    , ..., 0.    , 0.    , 0.0005]]))","(1.4426428668754896, array([[8.95897544e-06, 8.76367964e-06, 8.57087374e-06, ...,
        7.10895450e-08, 6.59170387e-08, 6.09349303e-08],
       [8.62426210e-06, 8.43676926e-06, 8.25165105e-06, ...,
        7.71271775e-08, 7.15196648e-08, 6.61180716e-08],
       [8.28274604e-06, 8.10316437e-06, 7.92584196e-06, ...,
        8.34289163e-08, 7.73678824e-08, 7.15288917e-08],
       ...,
       [1.67368591e-37, 1.84497934e-37, 2.03337784e-37, ...,
        7.64826258e-06, 7.98751170e-06, 8.32181851e-06],
       [1.51946274e-37, 1.67507277e-37, 1.84623226e-37, ...,
        7.82468491e-06, 8.17225017e-06, 8.51480025e-06],
       [1.37916896e-37, 1.52050263e-37, 1.67596873e-37, ...,
        8.00356868e-06, 8.35958174e-06, 8.71050707e-06]]), 0.49960032377146363, 0.6826686999999936)","(1.4497702897904574, array([[8.82085040e-06, 8.62781534e-06, 8.43727865e-06, ...,
        7.89504825e-08, 7.34303138e-08, 6.80851604e-08],
       [8.48635238e-06, 8.30113551e-06, 8.11830029e-06, ...,
        8.55976394e-08, 7.96174824e-08, 7.38263809e-08],
       [8.14545702e-06, 7.96815833e-06, 7.79312460e-06, ...,
        9.25275397e-08, 8.60683985e-08, 7.98128680e-08],
       ...,
       [1.94963828e-37, 2.14878063e-37, 2.36777187e-37, ...,
        7.29256490e-06, 7.63863447e-06, 7.98158612e-06],
       [1.77117495e-37, 1.95220561e-37, 2.15129214e-37, ...,
        7.46507108e-06, 7.81979610e-06, 8.17137162e-06],
       [1.60872896e-37, 1.77326251e-37, 1.95421761e-37, ...,
        7.64016992e-06, 8.00369548e-06, 8.36404087e-06]]), 0.2761039000000096)"
