eps,eTiOT,eTAOT
0.01,0.23755283731717347,0.230052743799798
0.02,0.23502786817790744,0.22500280552126595
0.03,0.22752777466053187,0.23001533684958664
0.04,0.22752777466053187,0.2325028990386414
0.05,0.2275090711854263,0.2275090711854263
0.06,0.23255900946395835,0.21750271200389026
0.07,0.2200276811431564,0.23254030598885278
0.08,0.22000897766805083,0.2576029626304567
0.09,0.21499644633972992,0.2776156809935285
0.1,0.22756518161074324,0.2875659297497476
Final error,0.2829268292682927,0.2780487804878049
