eps,eTiOT,eTAOT
0.01,0.25511540044140213,0.257584259155351
0.02,0.2625967904836718,0.26010922829461725
0.03,0.27013429095125874,0.24260277559570564
0.04,0.27512811880447396,0.2501028691130812
0.05,0.2726405566154192,0.26508435267272656
0.06,0.28515318146111557,0.26010922829461725
0.07,0.28515318146111535,0.26510305614783236
0.08,0.2776156809935286,0.2651404630980436
0.09,0.26512175962293794,0.2476714173493435
0.1,0.2700968840010475,0.26265290090898896
Final error,0.474025974025974,0.551948051948052
