eps,eTiOT,eTAOT
0.01,0.4085213032581453,0.41102756892230585
0.02,0.4085213032581453,0.42105263157894735
0.03,0.42105263157894735,0.4035087719298245
0.04,0.4135338345864662,0.4035087719298246
0.05,0.4085213032581453,0.40100250626566414
0.06,0.42105263157894735,0.4135338345864662
0.07,0.4135338345864662,0.4235588972431078
0.08,0.4135338345864662,0.4285714285714285
0.09,0.4335839598997494,0.43609022556390975
0.1,0.443609022556391,0.44611528822055135
Final error,0.42207792207792205,0.4545454545454546
