eps,eTAOT
0.005,0.2400965099315453
0.01,0.23755283731717347
0.015,0.22255265028242244
0.02,0.2276025885609546
0.025,0.23759024426738495
0.03,0.23007144727490358
0.035,0.2300714472749038
0.04,0.22000897766805083
0.045,0.22249653985710538
0.05,0.21997157071783935
0.055,0.21249018067556946
0.06,0.22502150899637152
0.065,0.23502786817790744
0.07,0.2500093517375529
0.075,0.25752814873003416
0.08,0.2700594770508361
0.085,0.28758463322485317
0.09,0.30009725807054954
0.095,0.3076160550630306
0.1,0.3076160550630308
Final error,0.2682926829268293
