eps,eTiOT,eTAOT
0.01,0.17996483746680136,0.16494594695694464
0.02,0.17998354094190694,0.17743986832753522
0.03,0.1849399618449108,0.18752104140949388
0.04,0.17994613399169568,0.18499607227022785
0.05,0.16247708824299556,0.19000860359854865
0.06,0.16748961957131636,0.18752104140949388
0.07,0.16750832304642216,0.18248980660606728
0.08,0.16754572999663342,0.19000860359854865
0.09,0.16505816780757865,0.19247746231249774
0.1,0.1750271200389033,0.19244005536228626
Final error,0.3381294964028777,0.3381294964028777
