eps,eTiOT,eTAOT
0.01,0.3113113113113113,0.3118118118118117
0.02,0.3113113113113113,0.30255255255255253
0.03,0.3205705705705705,0.31156156156156156
0.04,0.3298298298298299,0.31156156156156156
0.05,0.32082082082082086,0.31156156156156156
0.06,0.32082082082082086,0.31156156156156156
0.07,0.3118118118118117,0.30255255255255253
0.08,0.3118118118118117,0.31156156156156156
0.09,0.3118118118118117,0.30255255255255253
0.1,0.3118118118118117,0.3118118118118117
Final error,0.35238095238095235,0.4095238095238095
