eps,eTiOT,eTAOT
0.01,0.4235588972431078,0.4235588972431078
0.02,0.4385964912280701,0.42606516290726815
0.03,0.43107769423558906,0.4385964912280702
0.04,0.42105263157894735,0.4536340852130326
0.05,0.42606516290726815,0.44611528822055135
0.06,0.43107769423558906,0.46115288220551376
0.07,0.43107769423558906,0.443609022556391
0.08,0.42606516290726815,0.4586466165413534
0.09,0.4486215538847118,0.46115288220551376
0.1,0.45112781954887227,0.44611528822055135
Final error,0.44805194805194803,0.4285714285714286
