eps,eTiOT,eTAOT
0.01,0.22997792989937527,0.2249279916208432
0.02,0.2124714772004639,0.22745296076010924
0.03,0.2024090075936109,0.2249092881457374
0.04,0.18735271013354282,0.19986533497923908
0.05,0.1898402723225976,0.19977181760371077
0.06,0.18731530318333134,0.1847903340440653
0.07,0.18230277185501065,0.1797965061908503
0.08,0.2022967867429769,0.18230277185501065
0.09,0.20983428721056374,0.19230913103654645
0.1,0.2323906781880073,0.20981558373545806
Final error,0.19024390243902434,0.23414634146341462
