eps,eTAOT
0.005,0.19666666666666677
0.01,0.18166666666666664
0.015,0.19499999999999995
0.02,0.19999999999999984
0.025,0.20666666666666667
0.03,0.20999999999999996
0.035,0.21333333333333326
0.04,0.21833333333333327
0.045,0.22499999999999998
0.05,0.23166666666666658
0.055,0.24166666666666659
0.06,0.2566666666666667
0.065,0.2733333333333333
0.07,0.2816666666666666
0.075,0.28500000000000003
0.08,0.30500000000000005
0.085,0.30999999999999994
0.09,0.32166666666666666
0.095,0.32499999999999984
0.1,0.33666666666666667
Final error,0.21649484536082475
