eps,eTiOT,eTAOT
0.01,0.1824898066060675,0.19745258669060706
0.02,0.19747129016571285,0.17990872704148442
0.03,0.19238394493696942,0.18742752403396556
0.04,0.18991508622302022,0.18989638274791465
0.05,0.18490255489469953,0.1974151797403958
0.06,0.18744622750907114,0.19244005536228626
0.07,0.18490255489469953,0.17742116485242965
0.08,0.18989638274791465,0.17498971308869182
0.09,0.17992743051659,0.1774585718026409
0.1,0.17992743051659,0.18742752403396545
Final error,0.3381294964028777,0.3309352517985612
