eps,eTiOT
0.005,0.21333333333333337
0.01,0.21666666666666667
0.015,0.21666666666666667
0.02,0.20499999999999996
0.025,0.20999999999999996
0.03,0.20833333333333337
0.035,0.20666666666666667
0.04,0.20500000000000007
0.045,0.20666666666666667
0.05,0.21499999999999997
0.055,0.20999999999999996
0.06,0.21333333333333326
0.065,0.21499999999999997
0.07,0.21833333333333327
0.075,0.22166666666666668
0.08,0.22499999999999998
0.085,0.21666666666666667
0.09,0.22000000000000008
0.095,0.22333333333333327
0.1,0.22333333333333327
Final error,0.26086956521739135
