eps,eTiOT,eTAOT
0.01,0.21995286724273377,0.22489058467063183
0.02,0.21995286724273377,0.22500280552126595
0.03,0.22251524333221118,0.2325028990386414
0.04,0.2325028990386414,0.24245314779486027
0.05,0.23246549208843004,0.242415740844649
0.06,0.24495941345902084,0.23996558560580572
0.07,0.23244678861332435,0.24000299255601687
0.08,0.2349530542774848,0.24750308607339244
0.09,0.23248419556353583,0.24249055474507164
0.1,0.24000299255601687,0.2449781169341264
Final error,0.3525179856115108,0.36690647482014394
