eps,eTiOT,eTAOT
0.01,0.24000299255601687,0.23003404032469232
0.02,0.21505255676504698,0.2200089776680506
0.03,0.21005872891183186,0.21250888415067515
0.04,0.1975274005910298,0.19244005536228637
0.05,0.1999775558298732,0.2074402423970373
0.06,0.17994613399169568,0.23499046122769618
0.07,0.20244641454382217,0.2500093517375528
0.08,0.21249018067556957,0.27746605319268314
0.09,0.24245314779486027,0.3000411476452326
0.1,0.26497213182209256,0.32250402124714783
Final error,0.2682926829268293,0.25365853658536586
