eps,eTiOT,eTAOT
0.01,0.17248344742453148,0.19500243145176377
0.02,0.17252085437474285,0.17250215089963705
0.03,0.16502076085736717,0.18250851008117308
0.04,0.18252721355627877,0.1775707926532749
0.05,0.18753974488459957,0.18759585530991651
0.06,0.17504582351400888,0.18508958964575617
0.07,0.17005199566079376,0.18263943440691277
0.08,0.16760184042195048,0.19012082444918266
0.09,0.17263307522537696,0.1976583249167696
0.1,0.16758313694684468,0.1876332622601279
Final error,0.3165467625899281,0.3237410071942446
