eps,eTAOT
0.005,0.20500000000000007
0.01,0.20333333333333325
0.015,0.20999999999999996
0.02,0.20999999999999996
0.025,0.21166666666666656
0.03,0.21333333333333337
0.035,0.21666666666666667
0.04,0.21499999999999997
0.045,0.21833333333333338
0.05,0.22499999999999998
0.055,0.22666666666666657
0.06,0.21499999999999997
0.065,0.21833333333333327
0.07,0.21833333333333327
0.075,0.21833333333333327
0.08,0.21666666666666667
0.085,0.21499999999999997
0.09,0.21833333333333338
0.095,0.22499999999999998
0.1,0.22499999999999998
Final error,0.27898550724637683
