eps,eTiOT,eTAOT
0.01,0.30555555555555547,0.2777777777777778
0.02,0.30555555555555547,0.2777777777777778
0.03,0.30555555555555547,0.2777777777777778
0.04,0.30555555555555547,0.2777777777777778
0.05,0.30555555555555547,0.2777777777777778
0.06,0.30555555555555547,0.2777777777777778
0.07,0.33333333333333337,0.2777777777777778
0.08,0.33333333333333337,0.3055555555555557
0.09,0.33333333333333337,0.3055555555555557
0.1,0.33333333333333337,0.3055555555555557
Final error,0.2571428571428571,0.2628571428571429
