eps,eTiOT,eTAOT
0.01,0.2399468821306998,0.23987206823027718
0.02,0.2449781169341264,0.21750271200389026
0.03,0.2224778363819997,0.22251524333221118
0.04,0.22498410204616015,0.20001496278008457
0.05,0.21752141547899606,0.21250888415067537
0.06,0.20506490105861663,0.22249653985710538
0.07,0.20753375977256583,0.24752178954849813
0.08,0.2125649945759922,0.25750944525492836
0.09,0.22251524333221118,0.269947256200202
0.1,0.2425466651703886,0.2924288332772229
Final error,0.24878048780487805,0.25365853658536586
