eps,eTiOT,eTAOT
0.01,0.19247746231249774,0.20506490105861674
0.02,0.19745258669060706,0.19242135188718068
0.03,0.19492761755134103,0.20493397673287694
0.04,0.20237160064339943,0.20742153892193171
0.05,0.20489656978266568,0.19737777279018454
0.06,0.1973964762652901,0.19236524146186362
0.07,0.19737777279018454,0.1873714136086485
0.08,0.19489021060112977,0.1823775857554334
0.09,0.19489021060112977,0.19492761755134103
0.1,0.192402648412075,0.19743388321550148
Final error,0.3453237410071942,0.3309352517985612
