eps,eTiOT,eTAOT
0.005,0.1966666666666666,0.1966666666666667
0.01,0.1883333333333333,0.1816666666666666
0.015,0.185,0.1949999999999999
0.02,0.1866666666666666,0.1999999999999998
0.025,0.1949999999999999,0.2066666666666666
0.03,0.1966666666666666,0.2099999999999999
0.035,0.2016666666666666,0.2133333333333332
0.04,0.2133333333333332,0.2183333333333332
0.045,0.2183333333333333,0.2249999999999999
0.05,0.2183333333333332,0.2316666666666665
0.055,0.2183333333333332,0.2416666666666665
0.06,0.22,0.2566666666666667
0.065,0.2216666666666666,0.2733333333333333
0.07,0.2433333333333333,0.2816666666666666
0.075,0.2433333333333333,0.285
0.08,0.2366666666666667,0.305
0.085,0.255,0.3099999999999999
0.09,0.2566666666666667,0.3216666666666666
0.095,0.27,0.3249999999999998
0.1,0.2766666666666667,0.3366666666666666
Final error,0.2096219931271478,0.2164948453608247
eps_final_error,0.015,0.01
eps_final_error_grid001,0.02,0.01
final_error_grid001,0.1993127147766322,0.2164948453608247
