eps,eTAOT
0.005,0.22507761942168847
0.01,0.23257771293906415
0.015,0.25008416563797553
0.02,0.2650095387723038
0.025,0.26998466315041336
0.03,0.26499083529719825
0.035,0.24995324131223595
0.04,0.26244716268282653
0.045,0.25994089701866596
0.05,0.257472038304717
0.055,0.25995960049377176
0.06,0.24995324131223573
0.065,0.24995324131223595
0.07,0.257472038304717
0.075,0.257472038304717
0.08,0.2500093517375529
0.085,0.2525343208768188
0.09,0.2500280552126585
0.095,0.25004675868776427
0.1,0.25006546216286984
Final error,0.487012987012987
