eps,eTiOT,eTAOT
0.01,0.2449968204092321,0.25247821045150187
0.02,0.2399842890809113,0.229940522949164
0.03,0.23747802341675095,0.2324093816631131
0.04,0.22745296076010924,0.2124714772004639
0.05,0.20998391501140912,0.22006508809336778
0.06,0.2050087906332997,0.2276212920360603
0.07,0.20758987019788278,0.25251561740171324
0.08,0.2126024015262037,0.2574533348296114
0.09,0.22760258856095472,0.2848726293345303
0.1,0.2475591964987095,0.2998915198443871
Final error,0.24878048780487805,0.25365853658536586
