eps,eTiOT,eTAOT
0.01,0.21166666666666656,0.21833333333333327
0.02,0.22166666666666668,0.22166666666666668
0.03,0.22000000000000008,0.20333333333333325
0.04,0.21833333333333338,0.20833333333333337
0.05,0.21333333333333326,0.20499999999999996
0.06,0.21999999999999986,0.21166666666666656
0.07,0.2283333333333334,0.22166666666666668
0.08,0.2333333333333334,0.22499999999999998
0.09,0.23166666666666658,0.22666666666666657
0.1,0.2333333333333334,0.22166666666666668
Final error,0.2717391304347826,0.24275362318840576
