eps,eTiOT
0.005,0.22000000000000008
0.01,0.21666666666666667
0.015,0.20333333333333325
0.02,0.20166666666666666
0.025,0.20833333333333337
0.03,0.21166666666666656
0.035,0.20666666666666667
0.04,0.21166666666666656
0.045,0.21333333333333326
0.05,0.20999999999999996
0.055,0.21833333333333327
0.06,0.22499999999999998
0.065,0.22499999999999998
0.07,0.235
0.075,0.24166666666666659
0.08,0.2433333333333333
0.085,0.23999999999999988
0.09,0.23833333333333329
0.095,0.2566666666666667
0.1,0.2716666666666666
Final error,0.2680412371134021
