eps,eTAOT
0.005,0.4486215538847117
0.01,0.4385964912280701
0.015,0.44110275689223066
0.02,0.4486215538847117
0.025,0.4586466165413534
0.03,0.44110275689223055
0.035,0.4285714285714285
0.04,0.4235588972431077
0.045,0.4285714285714285
0.05,0.42105263157894746
0.055,0.4285714285714286
0.06,0.43107769423558895
0.065,0.43107769423558895
0.07,0.43609022556390986
0.075,0.4335839598997494
0.08,0.4486215538847118
0.085,0.4436090225563909
0.09,0.4536340852130326
0.095,0.45614035087719296
0.1,0.45112781954887227
Final error,0.4545454545454546
