eps,eTiOT,eTAOT
0.01,0.2375341338420679,0.23001533684958664
0.02,0.2125649945759922,0.23504657165301313
0.03,0.19257097968802606,0.2100213219616206
0.04,0.18256462050649025,0.2174840085287847
0.05,0.18252721355627877,0.21250888415067515
0.06,0.1900460105487599,0.21004002543672617
0.07,0.19253357273781468,0.19760221449145254
0.08,0.21249018067556946,0.2075711667227771
0.09,0.21499644633972992,0.21007743238693755
0.1,0.23499046122769618,0.2200463846182621
Final error,0.21463414634146338,0.23414634146341462
