eps,eTiOT,eTAOT
0.01,0.22166666666666668,0.21833333333333327
0.02,0.20000000000000007,0.20000000000000007
0.03,0.20999999999999996,0.21499999999999997
0.04,0.20666666666666667,0.21833333333333327
0.05,0.21333333333333326,0.22999999999999998
0.06,0.22499999999999998,0.2433333333333333
0.07,0.2466666666666667,0.2566666666666667
0.08,0.2483333333333334,0.28166666666666673
0.09,0.2616666666666667,0.29000000000000004
0.1,0.2766666666666667,0.30500000000000005
Final error,0.2680412371134021,0.25773195876288657
