eps,eTiOT
0.005,0.20666666666666667
0.01,0.20666666666666667
0.015,0.20500000000000007
0.02,0.21666666666666667
0.025,0.21499999999999997
0.03,0.21166666666666678
0.035,0.21166666666666678
0.04,0.21499999999999997
0.045,0.21499999999999997
0.05,0.21333333333333337
0.055,0.22166666666666668
0.06,0.22666666666666668
0.065,0.22499999999999998
0.07,0.22666666666666657
0.075,0.22499999999999998
0.08,0.2283333333333334
0.085,0.22999999999999998
0.09,0.23166666666666658
0.095,0.22499999999999998
0.1,0.22166666666666668
Final error,0.26086956521739135
