len,TiOT,TAOT,eTiOT,eTiOTh,eTAOT
100,0.09249979999999969,0.0017978999999996859,0.01580080000000006,0.06030089999999966,0.006616800000000644
500,17.396853099999998,0.023153000000000645,0.32966359999999995,1.3229149999999983,0.007079699999998468
1000,,0.09089579999999842,1.1340928000000048,4.118266800000001,0.022691000000001793
2000,,0.455812200000004,4.3193595999999985,16.074267300000002,0.11180609999999547
3000,,1.1408424999999909,9.661187299999995,37.5317661,0.2438104000000294
