len,TAOT,eTiOT,eTAOT
300,0.016730400000000145,0.022140499999999896,0.0026969999999995053
500,0.06525249999999971,0.04780970000000018,0.012237500000000345
800,0.21476110000000048,0.1075343000000002,0.028076699999999732
