len,TiOT,eTiOT,fast_eTiOT,eTAOT
100,0.16728169999998954,0.3843398999999863,0.11033910000000446,0.09481939999997735
200,1.4237851999999975,1.1126331000000107,0.28992940000000544,0.19359990000000948
300,5.768156000000005,1.770259100000004,0.5072518000000059,0.2813816000000031
400,14.301456000000002,4.289931800000005,2.350490199999996,0.5516216999999983
500,44.41207639999999,9.390912500000013,4.856108699999993,1.1206478999999945
600,91.87809779999998,12.167577999999992,8.894659999999988,1.287759900000026
700,142.9817943,24.0938175,10.378123699999946,2.0741861999999855
900,496.73488729999997,34.33853790000012,7.717134999999871,2.72069190000002
1100,,40.57025950000002,6.054661599999918,4.2004956999999195
1300,,83.59780219999993,10.22439230000009,6.510468200000105
1500,,203.36705560000019,22.882894899999883,9.651119599999902
1800,,332.6488323000001,38.07930609999994,15.150738000000047
2100,,590.6817969000001,61.36418609999964,20.927066999999624
