len,TAOT,eTiOT,eTAOT
300,0.011918200000000212,0.021121899999999805,0.011162499999999298
500,0.03512510000000013,0.05208559999999984,0.020660099999999737
800,0.09101970000000037,0.10699300000000012,0.03368989999999972
2000,0.7263763000000001,0.6593414000000006,0.22855079999999983
