len,TiOT,TAOT,eTiOT,eTAOT,sinkhorn
100,0.11829850000000075,0.0009731999999997853,0.009643299999999577,0.005878500000000564,0.03995239999999978
300,2.6938972000000003,0.007376900000000575,0.030874100000000126,0.004523400000000066,0.03822410000000076
500,17.057398399999997,0.021702400000002342,0.15148779999999817,0.010373200000003635,0.03686469999999531
1000,,0.0873993999999998,0.5931129999999989,0.01986980000000038,0.08476499999999909
2000,,0.4339656000000005,2.3837225000000046,0.10501419999999939,0.5234831
4000,,2.417447800000005,8.84315909999998,0.5846143999999924,2.189847900000018
7000,,9.199659999999994,28.752381799999966,1.6228538000000299,4.893207999999959
10000,,19.084736900000053,59.84071589999985,2.8946108000000095,10.719732799999747
