eps,eTiOT,eTAOT
0.01,0.26526526526526517,0.28378378378378377
0.02,0.26526526526526517,0.2745245245245246
0.03,0.2742742742742742,0.28378378378378377
0.04,0.28328328328328334,0.27477477477477474
0.05,0.28328328328328334,0.28378378378378377
0.06,0.2835335335335335,0.3020520520520521
0.07,0.2835335335335335,0.311061061061061
0.08,0.3020520520520521,0.3198198198198198
0.09,0.32932932932932923,0.3383383383383384
0.1,0.3475975975975977,0.3383383383383384
Final error,0.35238095238095235,0.38095238095238093
