eps,eTiOT,eTAOT
0.01,0.18007705831743548,0.17261437175027117
0.02,0.18512699659596754,0.1850708861706506
0.03,0.1850708861706506,0.1850708861706506
0.04,0.17755208917816923,0.18005835484232968
0.05,0.18254591703138445,0.17504582351400888
0.06,0.180039651367224,0.17506452698911446
0.07,0.17755208917816934,0.19002730707365423
0.08,0.17751468222795797,0.19754610406613538
0.09,0.1850521826955448,0.19758351101634686
0.1,0.1850334792204391,0.18755844835970537
Final error,0.3237410071942446,0.3381294964028777
