eps,eTiOT,eTAOT
0.01,0.21744660157857343,0.21999027419294503
0.02,0.1974151797403958,0.22244042943178854
0.03,0.19745258669060706,0.2050087906332997
0.04,0.19000860359854865,0.19500243145176377
0.05,0.19253357273781468,0.2050087906332997
0.06,0.21009613586204312,0.2100026184865148
0.07,0.2025586353944563,0.20504619758351106
0.08,0.2200463846182621,0.1900460105487599
0.09,0.21252758762578094,0.19257097968802606
0.1,0.2375341338420679,0.20504619758351106
Final error,0.21463414634146338,0.19512195121951215
