eps,eTiOT,eTAOT
0.01,0.25511540044140213,0.26007182134440576
0.02,0.2700594770508361,0.27256574271499645
0.03,0.2750533049040511,0.2675719148617812
0.04,0.2900908988890136,0.26252197658324905
0.05,0.29007219541390794,0.2625967904836718
0.06,0.2776156809935286,0.2625780870085661
0.07,0.28004713275726634,0.2700781805259419
0.08,0.29506602326712306,0.2675719148617812
0.09,0.28259080537163805,0.2525717278270303
0.1,0.27755957056821157,0.262596790483672
Final error,0.4675324675324676,0.577922077922078
