eps,eTiOT,eTAOT
0.01,0.42606516290726815,0.42606516290726815
0.02,0.44611528822055135,0.4285714285714285
0.03,0.44611528822055135,0.443609022556391
0.04,0.4235588972431078,0.4285714285714285
0.05,0.4285714285714285,0.4285714285714286
0.06,0.4285714285714286,0.44110275689223066
0.07,0.418546365914787,0.4285714285714285
0.08,0.4135338345864662,0.45112781954887204
0.09,0.4235588972431078,0.44611528822055135
0.1,0.4085213032581453,0.44110275689223055
Final error,0.474025974025974,0.4285714285714286
