eps,eTiOT,eTAOT
0.01,0.4335839598997494,0.43107769423558906
0.02,0.43107769423558906,0.45614035087719296
0.03,0.4586466165413533,0.4536340852130326
0.04,0.4536340852130326,0.4436090225563909
0.05,0.4486215538847117,0.4235588972431077
0.06,0.4586466165413534,0.4335839598997494
0.07,0.4536340852130326,0.4285714285714286
0.08,0.44110275689223066,0.4235588972431078
0.09,0.44110275689223055,0.42606516290726815
0.1,0.44110275689223055,0.4285714285714285
Final error,0.42207792207792205,0.4545454545454546
