eps,eTiOT
0.005,0.23500916470280186
0.01,0.22498410204616015
0.015,0.2449968204092321
0.02,0.24995324131223573
0.025,0.2624658661579322
0.03,0.26499083529719825
0.035,0.2699659596753078
0.04,0.26744099053604165
0.045,0.2749784910036285
0.05,0.2624658661579321
0.055,0.26745969401114733
0.06,0.257472038304717
0.065,0.26244716268282653
0.07,0.2649347248718813
0.075,0.26745969401114733
0.08,0.27501589795383996
0.085,0.2800097258070551
0.09,0.26753450791156996
0.095,0.27999102233194917
0.1,0.28249728799610974
Final error,0.49350649350649356
