eps,eTiOT,eTAOT
0.005,0.1031746031746031,0.1031746031746031
0.01,0.1031746031746031,0.1031746031746031
0.015,0.1031746031746031,0.1031746031746031
0.02,0.1031746031746031,0.1031746031746031
0.025,0.1031746031746031,0.1031746031746031
0.03,0.1031746031746031,0.1031746031746031
0.035,0.1031746031746031,0.1031746031746031
0.04,0.1031746031746031,0.1031746031746031
0.045,0.1031746031746031,0.1031746031746031
0.05,0.1031746031746031,0.1031746031746031
0.055,0.1031746031746031,0.1031746031746031
0.06,0.1031746031746031,0.1031746031746031
0.065,0.1031746031746031,0.1031746031746031
0.07,0.1031746031746031,0.1031746031746031
0.075,0.1031746031746031,0.1031746031746031
0.08,0.1031746031746031,0.1031746031746031
0.085,0.1031746031746031,0.1031746031746031
0.09,0.1031746031746031,0.1031746031746031
0.095,0.1031746031746031,0.1031746031746031
0.1,0.1031746031746031,0.1031746031746031
Final error,0.1730449251247919,0.2346089850249584
eps_final_error,0.1,0.1
eps_final_error_grid001,0.1,0.1
final_error_grid001,0.1730449251247919,0.2346089850249584
