eps,eTiOT,eTAOT
0.01,0.17504582351400888,0.17504582351400888
0.02,0.180039651367224,0.17007069913589945
0.03,0.18254591703138445,0.17005199566079376
0.04,0.18753974488459957,0.1650020573822616
0.05,0.19502113492686934,0.1699958852354767
0.06,0.18753974488459946,0.17250215089963705
0.07,0.18000224441701274,0.17253955784984853
0.08,0.1775707926532749,0.18499607227022785
0.09,0.17253955784984853,0.18998990012344308
0.1,0.1775707926532749,0.19000860359854865
Final error,0.3381294964028777,0.3525179856115108
