eps,eTiOT,eTAOT
0.01,0.22333333333333327,0.21499999999999997
0.02,0.2283333333333334,0.21666666666666667
0.03,0.22666666666666657,0.21666666666666667
0.04,0.21499999999999997,0.20833333333333337
0.05,0.20833333333333337,0.21166666666666678
0.06,0.22000000000000008,0.20833333333333337
0.07,0.22499999999999998,0.21166666666666656
0.08,0.23833333333333329,0.21666666666666667
0.09,0.235,0.22333333333333327
0.1,0.23166666666666658,0.2283333333333334
Final error,0.2753623188405797,0.26086956521739135
