eps,eTiOT,eTAOT
0.01,0.23493435080237912,0.2449781169341264
0.02,0.25247821045150187,0.26744099053604165
0.03,0.26242845920772073,0.25494706916545107
0.04,0.2649534283469869,0.27247222533946813
0.05,0.26497213182209256,0.26497213182209256
0.06,0.2724909288145737,0.2599221935435603
0.07,0.2674783974862529,0.26989114577488493
0.08,0.2774286462424719,0.2648973179216698
0.09,0.2699285527250964,0.2674035835858303
0.1,0.2699285527250964,0.26744099053604165
Final error,0.3525179856115108,0.36690647482014394
