eps,eTiOT
0.005,0.44110275689223055
0.01,0.4285714285714285
0.015,0.44110275689223055
0.02,0.44611528822055135
0.025,0.443609022556391
0.03,0.4586466165413534
0.035,0.4536340852130326
0.04,0.44611528822055135
0.045,0.44611528822055135
0.05,0.4536340852130326
0.055,0.4335839598997494
0.06,0.43107769423558895
0.065,0.4335839598997494
0.07,0.4285714285714287
0.075,0.4335839598997494
0.08,0.43107769423558895
0.085,0.4235588972431078
0.09,0.42606516290726815
0.095,0.4385964912280701
0.1,0.4385964912280702
Final error,0.487012987012987
