eps,eTiOT,eTAOT
0.01,0.22000000000000008,0.21833333333333327
0.02,0.22333333333333327,0.21499999999999997
0.03,0.21833333333333338,0.20333333333333325
0.04,0.21166666666666656,0.20000000000000007
0.05,0.21333333333333337,0.20833333333333337
0.06,0.21333333333333337,0.20833333333333337
0.07,0.21999999999999986,0.21333333333333326
0.08,0.22166666666666668,0.20999999999999996
0.09,0.22999999999999998,0.22166666666666668
0.1,0.23166666666666658,0.21499999999999997
Final error,0.25724637681159424,0.25
