eps,eTiOT,eTAOT
0.01,0.2524595069763963,0.24247185126996607
0.02,0.2275090711854263,0.24752178954849813
0.03,0.2274903677103205,0.2375154303669622
0.04,0.21997157071783935,0.21754011895410164
0.05,0.21499644633972992,0.22000897766805083
0.06,0.22000897766805083,0.21997157071783935
0.07,0.21252758762578094,0.23003404032469232
0.08,0.21999027419294503,0.2650095387723038
0.09,0.21748400852878458,0.28502225713537577
0.1,0.22999663337448106,0.29753488198107203
Final error,0.25365853658536586,0.25365853658536586
