eps,eTiOT,eTAOT
0.01,0.22000000000000008,0.22000000000000008
0.02,0.21333333333333326,0.21333333333333326
0.03,0.21499999999999997,0.21499999999999986
0.04,0.21833333333333327,0.21833333333333327
0.05,0.22999999999999998,0.22333333333333327
0.06,0.22166666666666668,0.22666666666666668
0.07,0.2333333333333334,0.245
0.08,0.23166666666666658,0.27166666666666683
0.09,0.23166666666666658,0.28166666666666673
0.1,0.2516666666666666,0.31000000000000005
Final error,0.2680412371134021,0.25773195876288657
