$\ell$,"$\mathrm{TiOT}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.2}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.5}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.8}(x^{(\ell)}, x^{(0)})$"
0,0.0,0.0,0.0,0.0
1,0.031840751972988954,0.02628376780941804,0.030898033170418792,0.03166680835944159
2,0.052059256285896936,0.038697745390712364,0.04846793048598217,0.052020282932115046
3,0.06973505504814419,0.048959573790675504,0.06326239686335478,0.06968351371736574
4,0.08627414766581876,0.058261127235827666,0.07703340602874184,0.08582200870613668
5,0.1050023473884865,0.06761622998649511,0.09106826355709381,0.10386314948562507
6,0.12334907845615507,0.07705870846598456,0.10602762978064963,0.12196743062578796
7,0.14092417680381744,0.08658085625389772,0.12046384162271141,0.14027948180229566
8,0.15742661722282703,0.0954816241745002,0.13453597693200023,0.15737921247696343
9,0.1692597901725463,0.10203868730923776,0.14522158585780318,0.16889670033828755
10,0.18382697525320787,0.11022814641393142,0.15804911290705334,0.18280997179423722
11,0.19523823821648437,0.11708677890881532,0.16866962526337456,0.19340568120263452
12,0.20668465029722163,0.12417921526212106,0.17955253212122407,0.2036325743088227
13,0.21714598774207572,0.1308976851651835,0.18966782334812277,0.21244569593079873
14,0.22830829323744856,0.13829319719779132,0.20067025069106656,0.22184033639960182
15,0.2394994403481532,0.1455390009104398,0.21154317892237226,0.2312150040107748
16,0.2508035877600209,0.15281870994658803,0.22269140834253978,0.24059435863775297
17,0.26122450058682245,0.1598276390010814,0.23338953148856162,0.24897297419003936
18,0.27222965848585656,0.16723887901849288,0.2447398791875842,0.25780015750073504
19,0.2833800593597563,0.1748281350804232,0.25639493890166143,0.26622632174142175
20,0.2950154378337954,0.1825979284319499,0.2687003109526312,0.2754875153785391
21,0.3070085686626543,0.19037484964492027,0.2812303153599963,0.2848474696603087
22,0.3192808844134904,0.19876261021508018,0.2943454045247345,0.29458015791433273
23,0.3287883892758812,0.20578868145480234,0.30497900271099615,0.30126214542677676
24,0.3387520432374009,0.21309130575150081,0.31595850515418017,0.30862547655010825
25,0.3501756848330763,0.22114035335649282,0.3282328596857309,0.31732433554798345
26,0.3607568908412836,0.22893557550720464,0.3400808993651237,0.32495798988071334
27,0.3708464781646357,0.23666670954172622,0.35159249935400416,0.33180513965051145
28,0.3795974424575732,0.24357621732221765,0.361980285709348,0.3373757506512356
29,0.3893594278969486,0.250816218866106,0.3728616365345231,0.3437004644748709
30,0.39871220436640487,0.2580728947771042,0.38316843885199936,0.3498143861260822
31,0.4070966763311744,0.2648047545776682,0.3925294154070924,0.3551953490503478
32,0.41570092984414203,0.27151973304512733,0.40189212015434306,0.36074965258775427
33,0.4239862887291333,0.27823209291618195,0.41102868265459713,0.36587330976504806
34,0.43098764926829664,0.28444802896567206,0.41906772519132474,0.36988687623190225
35,0.43819678615050667,0.29076941581970034,0.42717241852045035,0.3738718905840069
36,0.44601964507824005,0.2973090871268616,0.43572447985897717,0.3783941729501774
37,0.45348002843505514,0.30393258678514384,0.4438908082235914,0.38260895836694936
38,0.4611020881203501,0.3107853732396903,0.452213861412232,0.386770024112093
39,0.47046850219525355,0.3179103739876321,0.4619296416972429,0.3925299635176794
40,0.479189036723106,0.3246191277029547,0.4708922191004395,0.39777516375265876
41,0.48795180517707964,0.33132203324505705,0.4800601474528267,0.40308157248496473
42,0.49629063316560196,0.3379587030768989,0.4888624788698694,0.40804496978453186
43,0.5048688451710511,0.34477605024717667,0.4980020707130562,0.4132110073897213
44,0.512738959785691,0.35134036584425266,0.5066839096616589,0.41769957717638523
45,0.5202037055784311,0.3574482467077303,0.5148815643279666,0.42226874856034063
46,0.5269712976889324,0.3629380292397341,0.5222826486373157,0.4263709479216451
47,0.5356673444196851,0.36989180212902595,0.5316581666301174,0.4314436747998617
48,0.544586208454239,0.3772362620510936,0.5413999629290583,0.4365749778093907
49,0.5525157308409738,0.38404058917984907,0.5499889587561667,0.4409187753005679
50,0.5604056142227343,0.3907839948851701,0.5584054363667702,0.4452897612487846
51,0.5672496387516736,0.39702182595786933,0.5656783622734303,0.44885190211525106
52,0.573117521221346,0.4024720267426388,0.5718196197053514,0.45161669010536093
53,0.578825459150824,0.4077940997439681,0.5777503225032821,0.4542308507838033
54,0.5857163476723712,0.4141141908489012,0.5849108285712676,0.45771949679610646
55,0.5929095486195475,0.4205680801594624,0.5922319891553247,0.4614018999128076
56,0.5998354941781261,0.4271587190720377,0.5993255572028948,0.46486256671468507
57,0.6061536993921295,0.4334621218205547,0.6057778869139437,0.467909388754796
58,0.6111809635834246,0.4387821882925801,0.6109503229715721,0.47001062973578833
59,0.6170422909774553,0.4442809927631156,0.6169439420278618,0.47300887011490894
60,0.6239086617464372,0.4506300682641762,0.6238377941660387,0.4766238108883317
61,0.6299260834563968,0.45637957080722535,0.6299257585986302,0.4796580727047134
62,0.6357513999343279,0.46213537823264084,0.6356351632447041,0.4823336499309055
63,0.6421125314392747,0.46863374950986386,0.6418949941580433,0.48553633556405407
64,0.6469070292842563,0.47405247320074,0.646553859176233,0.4874883569873011
65,0.6518881233016195,0.4793684243248632,0.6513466365470114,0.48960984102241467
66,0.6557623842572675,0.483877540248188,0.6550682870584341,0.4909585057739133
67,0.6590634260669406,0.48823516936850914,0.6581719114225243,0.49195696572198316
68,0.6613429625445323,0.4920379986611827,0.6602293855138276,0.49243212218547033
69,0.6649632788851901,0.49659846904139615,0.6636330902047773,0.49355555839778087
