w,lag = 20,lag = 50,lag = 80,lag = 180
0.0,0.0,0.0,0.0,0.0
0.1,0.01841586100323385,0.0807058505880788,0.1607570952883805,0.3300662399894341
0.2,0.03334200346763955,0.15271213065841277,0.2971890102255815,0.5351094863279443
0.30000000000000004,0.04702833823560769,0.2187066373180513,0.41154157247328277,0.5679591640557021
0.4,0.05984398678212157,0.2777043994749591,0.48072579372658325,0.524036302033367
0.5,0.07219985710604071,0.31181663136396315,0.4814751922535561,0.4583486802833483
0.6000000000000001,0.08366401569062795,0.30576430572178326,0.43267753245352025,0.38444030519180034
0.7000000000000001,0.08641007390470615,0.2649786295078733,0.3531918922392128,0.30338828251029093
0.8,0.0758933711294408,0.19828297147299964,0.2529005044111761,0.21522658516227847
0.9,0.04914540072775003,0.11144357678786726,0.13708570439093762,0.1193494902152511
1.0,0.004810184979046773,0.006431141788379147,0.00869876966400654,0.008981771764549692
