lag,TiOT,TAOT(w = 0.25),TAOT(w = 0.5),TAOT(w = 0.75)
0,-1.3552527156068805e-19,0.0,0.0,0.0
1,0.0010138334862054878,0.0007611728910144229,0.0009546884538003608,0.0010105569403773878
2,0.0027101661650407406,0.0016760967983359017,0.0023491402855940354,0.0026652391057004053
