eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.3523809523809523,0.419047619047619,0.3904761904761904,0.4476190476190476
0.02,0.3523809523809523,0.4285714285714286,0.3809523809523809,0.4666666666666667
0.03,0.3619047619047619,0.4380952380952381,0.3904761904761904,0.4571428571428572
0.04,0.3619047619047619,0.4476190476190476,0.3904761904761904,0.4666666666666667
0.05,0.3714285714285714,0.4571428571428572,0.3904761904761904,0.4571428571428572
0.06,0.3809523809523809,0.4380952380952381,0.4,0.4761904761904761
0.07,0.4,0.4380952380952381,0.3904761904761904,0.4857142857142857
0.08,0.4095238095238095,0.4380952380952381,0.3904761904761904,0.4857142857142857
0.09,0.4095238095238095,0.4285714285714286,0.4095238095238095,0.5047619047619047
0.1,0.419047619047619,0.4380952380952381,0.4,0.5047619047619047
