eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.3525179856115108,0.3812949640287769,0.3669064748201439,0.3812949640287769
0.02,0.3884892086330935,0.3741007194244604,0.3812949640287769,0.3669064748201439
0.03,0.4244604316546763,0.3884892086330935,0.4028776978417266,0.3669064748201439
0.04,0.4100719424460431,0.39568345323741,0.4028776978417266,0.3597122302158273
0.05,0.4244604316546763,0.4100719424460431,0.4028776978417266,0.3741007194244604
0.06,0.4172661870503596,0.39568345323741,0.4028776978417266,0.3741007194244604
0.07,0.39568345323741,0.4028776978417266,0.3884892086330935,0.3884892086330935
0.08,0.39568345323741,0.39568345323741,0.3669064748201439,0.4028776978417266
0.09,0.39568345323741,0.4100719424460431,0.3812949640287769,0.4172661870503596
0.1,0.4028776978417266,0.4172661870503596,0.39568345323741,0.4100719424460431
